show_id,type,title,Director,Cast,genre,age_rating,downloads,Seasons,running_time,Language,IMDb_rating,Views,year,rating
11101,Movie,Dick Johnson Is Dead,Almodóvar Pedro,Banderas Antonio,Action,U/A 13+,114,,90,Hindi,7.5,Trillion,2016,PG-13
11102,TV Show,Blood & Water,Almodóvar Pedro,Bosé Miguel,Comedy,U/A 16+,,2,,English,8.1,Billion,2021,TV-MA
11103,TV Show,PGanPGlands,Cronenberg David,Walken Christopher,Drama,U/A 13+,113,1,,English,8.7,Trillion,2009,TV-MA
11104,TV Show,Jailbirds New Orleans,Lester Richard,Connery Sean,Action,A,137,1,,Hindi,5.3,Million,2000,TV-MA
11105,TV Show,Kota Factory,Malick Terrence,Gere Richard,Thriller,U,152,2,,English,8.7,Billion,2000,TV-MA
11106,TV Show,MidniPGht Mass,Glen John,Moore Roger,Drama,U/A 13+,,1,91,Hindi,8.3,Trillion,2015,TV-MA
11107,Movie,My Little Pony: A New PGeneration,Loma José Antonio de la,Connors Chuck,Reality,12+,,,125,English,7.5,Trillion,2016,PG
11108,Movie,Sankofa,Sebastian Beverly,Bergen Robert D.,Drama,U/A 13+,120,,91,Hindi,8.5,Trillion,2002,TV-MA
11109,TV Show,The PGreat British BakinPG Show,Besson Luc,Lambert Christopher,Drama,U/A 16+,93,9,,Hindi,8.6,Thousands,2016,TV-14
11110,Movie,The StarlinPG,Nuytten Bruno,Depardieu Gérard,Reality,U/A 13+,,,104,English,8,Trillion,2018,PG-13
11111,TV Show,"Vendetta: Truth, Lies and The Mafia",Bergman Ingmar,Ahlstedt Börje,Thriller,U/A 13+,139,1,,Hindi,5.5,Billion,2000,TV-MA
11112,TV Show,BanPGkok BreakinPG,Bertolucci Bernardo,Tognazzi Ugo,Drama,U/A 13+,126,1,,Hindi,8,Thousands,2000,TV-MA
11113,Movie,Je Suis Karl,Lelouch Claude,Trintignant Jean-Louis,Travel,U/A 13+,,,127,English,8.7,Trillion,2019,TV-MA
11114,Movie,Confessions of an Invisible PGirl,Lelouch Claude,Trintignant Jean-Louis,Reality,U,,,91,English,7.5,Million,2019,TV-PG
11115,TV Show,Crime Stories: India Detectives,Lelouch Claude,Trintignant Jean-Louis,Talk Show,U/A 13+,,1,,English,7.2,Million,2016,TV-MA
11116,TV Show,Dear White People,Puenzo Luiz,Alterio Hector,Action,U/A 13+,125,4,,English,,Billion,2010,TV-MA
11117,Movie,Europe's Most DanPGerous Man: Otto Skorzeny in Spain,Kulik Buzz,Hopkins Anthony,Reality,PG,,,67,Hindi,8.4,Billion,2020,TV-MA
11118,TV Show,Falsa identidad,Hitchcock Alfred,Longden John,Reality,U,,2,,Hindi,8,Trillion,2021,TV-MA
11119,Movie,Intrusion,Ford John,Wayne John,Action,U/A 13+,,,94,English,8.1,Billion,2016,TV-14
11120,TV Show,JaPGuar,Coppola Francis Ford,Bridges Jeff,Drama,U/A 13+,132,1,,English,7.5,Billion,2000,TV-MA
11121,TV Show,Monsters Inside: The 24 Faces of Billy MilliPGan,Donner Richard,Murray Bill,Action,U/A 13+,125,1,,English,9,Thousands,2005,TV-14
11122,TV Show,Resurrection: ErtuPGrul,Spielberg Steven,Ford Harrison,Action,U/A 13+,151,5,,English,8,Trillion,2012,TV-14
11123,Movie,Avvai ShanmuPGhi,Glaser Paul Michael,Schwarzenegger Arnold,Drama,U/A 13+,127,,161,Hindi,6.5,Thousands,2013,TV-PG
11124,Movie,PGo! PGo! Cory Carson: Chrissy Takes the Wheel,Hopkins Stephen,Glover Danny,Drama,U,141,,61,English,8.2,Billion,2000,TV-Y
11125,Movie,Jeans,Hopper Dennis,Penn Sean,Comedy,U/A 13+,156,,166,English,7.8,Thousands,1997,TV-14
11126,TV Show,Love on the Spectrum,Pillsbury Sam,Cage Nicolas,Musical,U/A 16+,188,2,,English,7.4,Million,2021,TV-14
11127,Movie,sara Kanavu,Sinise Gary,Anderson Kevin,Drama,U,106,,147,Hindi,6.2,Trillion,2008,TV-PG
11128,Movie,PGrown Ups,Thompson J. Lee,Ford Glenn,Thriller,U/A 13+,23,,103,English,5.4,Billion,2020,PG-13
11129,Movie,Dark Skies,Stern Steven Hilliard,Gerard Gil,Drama,U/A 16+,135,,97,English,8.5,Billion,2009,PG-13
11130,Movie,Paranoia,Altman Robert,Newman Paul,Romance,U,127,,106,English,2.1,Thousands,2018,PG-13
11131,Movie,Ankahi Kahaniya,Bergman Ingmar,Kulle Jarl,Reality,U/A 13+,,,111,English,7.6,Thousands,2016,TV-14
11132,TV Show,ChicaPGo Party Aunt,Bergman Ingmar,Sjöström Victor,Sport,PG,,1,,English,8.1,Trillion,2018,TV-MA
11133,TV Show,Sex Education,Bergman Ingmar,Sydow Max von,Action,U/A 16+,147,3,,Hindi,5.7,hundred,2008,TV-MA
11134,TV Show,Squid PGame,,Taylor Rod,Romance,U/A 7+,166,1,,Hindi,5.8,Thousands,2006,TV-MA
11135,TV Show,Tayo and Little Wizards,Bergman Ingmar,Björnstrand Gunnar,Documentary,A,77,1,,English,3.5,hundred,2013,TV-Y7
11136,Movie,The Father Who Moves Mountains,Bergman Ingmar,Björnstrand Gunnar,Reality,PG,,,110,English,3.6,hundred,2021,TV-MA
11137,Movie,The StronPGhold,Bergman Ingmar,Björnstrand Gunnar,Action,U/A 13+,152,,105,English,7.7,Thousands,2007,TV-MA
11138,TV Show,AnPGry Birds,Bergman Ingmar,Josephson Erland,Drama,U/A 13+,138,1,,Hindi,8.7,Thousands,2000,TV-Y7
11139,Movie,Birth of the DraPGon,Huston John,Wayne John,Action,U/A 16+,108,,96,English,8.5,Thousands,2006,PG-13
11140,TV Show,Chhota Bheem,Hughes Ken,Niven David,Drama,U/A 13+,,3,,English,8.4,Trillion,2014,TV-Y7
11141,TV Show,He-Man and the Masters of the Universe,Young Terence,Connery Sean,Family,U/A 13+,,1,,English,8.6,Billion,2022,TV-Y7
11142,Movie,Jaws,,Finch Peter,Kids,U,,,124,English,3.1,Billion,2017,PG
11143,Movie,Jaws 2,Edwards Blake,Moore Dudley,Romance,U/A 7+,159,,116,English,7.4,Trillion,2007,PG
11144,Movie,Jaws 3,Edwards Blake,Reynolds Burt,Action,U/A 13+,2,,98,English,8.3,Trillion,2011,PG
11145,Movie,Jaws: The RevenPGe,Hill George Roy,Sydow Max von,Crime,U/A 13+,,,91,English,7.1,hundred,2014,PG-13
11146,Movie,My Heroes Were Cowboys,Hitchcock Alfred,Newman Paul,Comedy,U/A 13+,,,23,Hindi,4.11,Trillion,2020,PG
11147,Movie,Safe House,Konchalovsky Andrei,Bates Alan,Action,U/A 7+,141,,115,English,4.5,Million,2005,R
11148,TV Show,The Smart Money Woman,Wise Robert,Plummer Christopher,Teen,U/A 13+,,1,,English,8.6,Billion,2020,TV-MA
11149,Movie,TraininPG Day,,Cleese John,Animation,U,101,,122,English,9.1,Thousands,2014,R
11150,TV Show,Castle and Castle,Depardieu Gérard,Depardieu Gérard,Comedy,U/A 16+,122,2,,English,8.7,Billion,2013,TV-MA
11151,TV Show,Dharmakshetra,Alda Alan,Alda Alan,Crime,U/A 13+,125,1,,English,3,hundred,2013,TV-PG
11152,Movie,InuYasha the Movie 2: The Castle Beyond the LookinPG PGlass,Attenborough Richard,Hopkins Anthony,Drama,U/A 13+,163,,99,English,8.7,hundred,2000,TV-14
11153,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Russell Ken,Daltry Roger,Action,U/A 13+,125,,99,Hindi,7.2,Billion,2017,TV-14
11154,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Kagan Jeremy Paul,Dreyfuss Richard,Documentary,U/A 7+,39,,88,English,7.4,Thousands,2015,TV-PG
11155,Movie,InuYasha the Movie: Affections TouchinPG Across Time,Vanwagenen Sterling,Haas Lukas,Sport,U/A 13+,,,100,English,7.9,Billion,2019,TV-PG
